"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"1939","2016-01-01 00:08:07","2016-01-01 00:40:26","36","Boston Public Library - 700 Boylston St.","42.349673","-71.077303","19","Buswell St. at Park Dr.","42.347241","-71.105301","1406","Subscriber",\N,"0"
"1927","2016-01-01 00:08:19","2016-01-01 00:40:27","36","Boston Public Library - 700 Boylston St.","42.349673","-71.077303","19","Buswell St. at Park Dr.","42.347241","-71.105301","1121","Subscriber",\N,"0"
"1813","2016-01-01 00:10:15","2016-01-01 00:40:29","36","Boston Public Library - 700 Boylston St.","42.349673","-71.077303","19","Buswell St. at Park Dr.","42.347241","-71.105301","474","Subscriber",\N,"0"
"1788","2016-01-01 00:10:22","2016-01-01 00:40:11","36","Boston Public Library - 700 Boylston St.","42.349673","-71.077303","19","Buswell St. at Park Dr.","42.347241","-71.105301","1504","Subscriber",\N,"0"
"941","2016-01-01 00:15:36","2016-01-01 00:31:17","36","Boston Public Library - 700 Boylston St.","42.349673","-71.077303","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","913","Customer","1990","1"
"323","2016-01-01 00:17:15","2016-01-01 00:22:39","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","620","Subscriber","1993","1"
"1072","2016-01-01 00:25:13","2016-01-01 00:43:06","107","Ames St at Main St","42.3625","-71.08822","176","Lesley University","42.38674802045056","-71.11901879310608","204","Subscriber","1984","2"
"452","2016-01-01 00:25:24","2016-01-01 00:32:57","141","Kendall Street","42.363560158429884","-71.08216792345047","90","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","750","Subscriber","1965","1"
"285","2016-01-01 00:45:02","2016-01-01 00:49:47","178","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","909","Subscriber",\N,"0"
"225","2016-01-01 00:47:48","2016-01-01 00:51:34","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","178","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","813","Subscriber","1990","1"
"407","2016-01-01 00:54:00","2016-01-01 01:00:47","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","178","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","1281","Subscriber","1988","1"
"178","2016-01-01 00:58:34","2016-01-01 01:01:32","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","177","University Park","42.36264779118595","-71.10006093978882","661","Subscriber",\N,"0"
"150","2016-01-01 00:58:53","2016-01-01 01:01:24","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","177","University Park","42.36264779118595","-71.10006093978882","451","Subscriber",\N,"0"
"458","2016-01-01 01:10:14","2016-01-01 01:17:53","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","1471","Customer","1980","1"
"888","2016-01-01 01:17:49","2016-01-01 01:32:37","163","Lawn on D","42.344792","-71.044024","121","West Broadway at Dorchester St","42.335693","-71.045859","1218","Subscriber",\N,"0"
"729","2016-01-01 01:20:35","2016-01-01 01:32:45","163","Lawn on D","42.344792","-71.044024","121","West Broadway at Dorchester St","42.335693","-71.045859","887","Subscriber",\N,"0"
"11104","2016-01-01 01:22:29","2016-01-01 04:27:34","74","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","22","South Station - 700 Atlantic Ave.","42.352175","-71.055547","232","Subscriber",\N,"0"
"10804","2016-01-01 01:27:24","2016-01-01 04:27:28","74","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","22","South Station - 700 Atlantic Ave.","42.352175","-71.055547","1162","Subscriber",\N,"0"
"1426","2016-01-01 01:36:26","2016-01-01 02:00:12","43","Rowes Wharf - Atlantic Ave","42.357143","-71.050699","36","Boston Public Library - 700 Boylston St.","42.349673","-71.077303","649","Subscriber",\N,"0"
"334","2016-01-01 01:38:39","2016-01-01 01:44:13","84","CambridgeSide Galleria - CambridgeSide PL at Land Blvd","42.366981","-71.076472","90","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","1217","Subscriber","1972","1"
"1266","2016-01-01 01:38:58","2016-01-01 02:00:04","43","Rowes Wharf - Atlantic Ave","42.357143","-71.050699","36","Boston Public Library - 700 Boylston St.","42.349673","-71.077303","1303","Subscriber",\N,"0"
"1281","2016-01-01 01:39:05","2016-01-01 02:00:27","43","Rowes Wharf - Atlantic Ave","42.357143","-71.050699","36","Boston Public Library - 700 Boylston St.","42.349673","-71.077303","766","Customer","1989","2"
"377","2016-01-01 01:39:07","2016-01-01 01:45:25","43","Rowes Wharf - Atlantic Ave","42.357143","-71.050699","47","Cross St. at Hanover St.","42.362811","-71.056067","282","Customer","1958","2"
"964","2016-01-01 01:43:15","2016-01-01 01:59:20","49","Stuart St. at Charles St.","42.351146","-71.066289","47","Cross St. at Hanover St.","42.362811","-71.056067","1187","Customer","1989","1"
"488","2016-01-01 01:57:01","2016-01-01 02:05:09","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","141","Kendall Street","42.363560158429884","-71.08216792345047","1498","Subscriber","1990","1"
"403","2016-01-01 01:57:52","2016-01-01 02:04:36","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","179","MIT Vassar St","42.355601213279265","-71.10394477844238","411","Subscriber","1991","1"
"321","2016-01-01 01:59:49","2016-01-01 02:05:10","46","Christian Science Plaza","42.343864","-71.085918","25","Tremont St / W Newton St","42.341332","-71.076847","551","Subscriber",\N,"0"
"609","2016-01-01 02:02:18","2016-01-01 02:12:27","16","Back Bay / South End Station","42.34807412317439","-71.07657015323639","138","Mass Ave at Newmarket Square","42.326599","-71.066498","348","Subscriber",\N,"0"
"7093","2016-01-01 02:02:30","2016-01-01 04:00:44","36","Boston Public Library - 700 Boylston St.","42.349673","-71.077303","36","Boston Public Library - 700 Boylston St.","42.349673","-71.077303","1011","Subscriber",\N,"0"
"7117","2016-01-01 02:02:36","2016-01-01 04:01:14","36","Boston Public Library - 700 Boylston St.","42.349673","-71.077303","36","Boston Public Library - 700 Boylston St.","42.349673","-71.077303","94","Subscriber",\N,"0"
"1056","2016-01-01 02:05:56","2016-01-01 02:23:32","150","State Street at Channel Center","42.344137","-71.052608","25","Tremont St / W Newton St","42.341332","-71.076847","772","Customer","1969","1"
"1027","2016-01-01 02:06:23","2016-01-01 02:23:31","150","State Street at Channel Center","42.344137","-71.052608","25","Tremont St / W Newton St","42.341332","-71.076847","639","Subscriber",\N,"0"
"850","2016-01-01 02:11:38","2016-01-01 02:25:49","70","Harvard Kennedy School at Bennett St / Eliot St","42.371196","-71.121473","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","86","Subscriber","1993","1"
"6542","2016-01-01 02:11:51","2016-01-01 04:00:53","36","Boston Public Library - 700 Boylston St.","42.349673","-71.077303","36","Boston Public Library - 700 Boylston St.","42.349673","-71.077303","866","Subscriber",\N,"0"
"72046","2016-01-01 02:27:25","2016-01-01 22:28:12","121","West Broadway at Dorchester St","42.335693","-71.045859","100","Davis Square","42.396969","-71.123024","1062","Subscriber",\N,"0"
"70135","2016-01-01 02:27:32","2016-01-01 21:56:27","121","West Broadway at Dorchester St","42.335693","-71.045859","100","Davis Square","42.396969","-71.123024","1496","Subscriber",\N,"0"
